Area,Period,SOC,Occupation Title,Base Year,Projected Year,Change,Percent,Total Annual Openings,Growth Annual Openings,Replacement Annual Openings
0,2014-2024,' 15-0000,Computer and Mathematical Occupations,246160,299650,53490,21.7%,9030,5350,3680
0,2014-2024,' 15-1100,Computer Occupations,236480,287210,50730,21.5%,8550,5070,3470
0,2014-2024,' 15-1121,Computer Systems Analysts,37560,48860,11300,30.1%,1610,1130,480
0,2014-2024,' 15-1122,Information Security Analysts,4990,5850,860,17.2%,150,90,60
0,2014-2024,' 15-1131,Computer Programmers,23260,23460,200,0.9%,590,20,570
0,2014-2024,' 15-1132,"Software Developers, Applications",46960,60710,13750,29.3%,2050,1380,670
0,2014-2024,' 15-1133,"Software Developers, Systems Software",18680,23690,5010,26.8%,770,500,270
0,2014-2024,' 15-1134,Web Developers,10800,14550,3750,34.7%,510,380,140
0,2014-2024,' 15-1141,Database Administrators,7320,8580,1260,17.2%,280,130,160
0,2014-2024,' 15-1142,Network and Computer Systems Administrators,24970,28690,3720,14.9%,690,370,320
0,2014-2024,' 15-1143,Computer Network Architects,7180,8170,990,13.8%,190,100,90
0,2014-2024,' 15-1151,Computer User Support Specialists,39950,47860,7910,19.8%,1310,790,510
0,2014-2024,' 15-1152,Computer Network Support Specialists,9300,10410,1110,11.9%,230,110,120
0,2014-2024,' 15-2000,Mathematical Science Occupations,9680,12440,2760,28.5%,480,280,210
0,2014-2024,' 15-2011,Actuaries,2780,3130,350,12.6%,120,40,80
0,2014-2024,' 15-2031,Operations Research Analysts,5370,6990,1620,30.2%,260,160,100
0,2014-2024,' 15-2041,Statisticians,1420,2200,780,54.9%,100,80,30
0,2014-2024,' 17-0000,Architecture and Engineering Occupations,113750,127350,13600,12%,4040,1360,2680
0,2014-2024,' 17-1000,"Architects, Surveyors, and Cartographers",16660,19230,2570,15.4%,550,260,300
0,2014-2024,' 17-1011,"Architects, Except Landscape and Naval",13730,16000,2270,16.5%,450,230,230
0,2014-2024,' 17-1012,Landscape Architects,1370,1550,180,13.1%,40,20,20
0,2014-2024,' 17-1022,Surveyors,1380,1430,50,3.6%,50,10,40
0,2014-2024,' 17-2000,Engineers,64190,72430,8240,12.8%,2580,830,1760
0,2014-2024,' 17-2011,Aerospace Engineers,640,690,50,7.8%,20,10,20
0,2014-2024,' 17-2031,Biomedical Engineers,790,1040,250,31.6%,50,30,20
0,2014-2024,' 17-2041,Chemical Engineers,1330,1430,100,7.5%,50,10,40
0,2014-2024,' 17-2051,Civil Engineers,14940,17520,2580,17.3%,700,260,440
0,2014-2024,' 17-2061,Computer Hardware Engineers,1350,1470,120,8.9%,40,10,30
0,2014-2024,' 17-2071,Electrical Engineers,11450,12590,1140,10%,370,110,250
0,2014-2024,' 17-2072,"Electronics Engineers, Except Computer",4090,4290,200,4.9%,110,20,90
0,2014-2024,' 17-2081,Environmental Engineers,3430,4140,710,20.7%,170,70,100
0,2014-2024,' 17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1560,1860,300,19.2%,80,30,50
0,2014-2024,' 17-2112,Industrial Engineers,8600,9450,850,9.9%,340,90,250
0,2014-2024,' 17-2131,Materials Engineers,1590,1870,280,17.6%,80,30,60
0,2014-2024,' 17-2141,Mechanical Engineers,10520,11670,1150,10.9%,450,120,330
0,2014-2024,' 17-2161,Nuclear Engineers,700,680,-20,-2.9%,20,0,20
0,2014-2024,' 17-2199,"Engineers, All Other",2960,3440,480,16.2%,110,50,60
0,2014-2024,' 17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",32900,35700,2800,8.5%,900,280,620
0,2014-2024,' 17-3011,Architectural and Civil Drafters,6130,6330,200,3.3%,90,20,70
0,2014-2024,' 17-3012,Electrical and Electronics Drafters,2010,2360,350,17.4%,60,40,20
0,2014-2024,' 17-3013,Mechanical Drafters,3410,3530,120,3.5%,50,10,40
0,2014-2024,' 17-3019,"Drafters, All Other",750,790,40,5.3%,10,0,10
0,2014-2024,' 17-3022,Civil Engineering Technicians,2090,2420,330,15.8%,80,30,50
0,2014-2024,' 17-3023,Electrical and Electronics Engineering Technicians,6410,6750,340,5.3%,190,30,160
0,2014-2024,' 17-3025,Environmental Engineering Technicians,1320,1710,390,29.5%,70,40,30
0,2014-2024,' 17-3026,Industrial Engineering Technicians,3320,3540,220,6.6%,100,20,80
0,2014-2024,' 17-3027,Mechanical Engineering Technicians,1770,1980,210,11.9%,60,20,40
0,2014-2024,' 17-3029,"Engineering Technicians, Except Drafters, All Other",2360,2620,260,11%,80,30,60
0,2014-2024,' 17-3031,Surveying and Mapping Technicians,2070,2120,50,2.4%,30,10,20
0,2014-2024,' 19-0000,"Life, Physical, and Social Science Occupations",81350,93720,12370,15.2%,3580,1240,2340
0,2014-2024,' 19-1000,Life Scientists,18010,20740,2730,15.2%,820,270,550
0,2014-2024,' 19-1011,Animal Scientists,230,260,30,13%,10,0,10
0,2014-2024,' 19-1012,Food Scientists and Technologists,490,580,90,18.4%,30,10,20
0,2014-2024,' 19-1021,Biochemists and Biophysicists,2430,2960,530,21.8%,120,50,70
0,2014-2024,' 19-1022,Microbiologists,1910,2200,290,15.2%,80,30,50
0,2014-2024,' 19-1023,Zoologists and Wildlife Biologists,480,500,20,4.2%,20,0,10
0,2014-2024,' 19-1029,"Biological Scientists, All Other",900,960,60,6.7%,30,10,20
0,2014-2024,' 19-1031,Conservation Scientists,520,630,110,21.2%,30,10,20
0,2014-2024,' 19-1032,Foresters,250,270,20,8%,10,0,10
0,2014-2024,' 19-1041,Epidemiologists,280,310,30,10.7%,10,0,10
0,2014-2024,' 19-1042,"Medical Scientists, Except Epidemiologists",10120,11630,1510,14.9%,460,150,310
0,2014-2024,' 19-1099,"Life Scientists, All Other",230,260,30,13%,10,0,10
0,2014-2024,' 19-2000,Physical Scientists,12470,14390,1920,15.4%,480,190,290
0,2014-2024,' 19-2012,Physicists,1370,1640,270,19.7%,50,30,30
0,2014-2024,' 19-2021,Atmospheric and Space Scientists,560,690,130,23.2%,20,10,10
0,2014-2024,' 19-2031,Chemists,4130,4520,390,9.4%,130,40,90
0,2014-2024,' 19-2032,Materials Scientists,480,580,100,20.8%,20,10,10
0,2014-2024,' 19-2041,"Environmental Scientists and Specialists, Including Health",3110,3730,620,19.9%,160,60,100
0,2014-2024,' 19-2042,"Geoscientists, Except Hydrologists and Geographers",1200,1460,260,21.7%,60,30,40
0,2014-2024,' 19-2099,"Physical Scientists, All Other",1290,1390,100,7.8%,20,10,10
0,2014-2024,' 19-3000,Social Scientists and Related Workers,23320,26800,3480,14.9%,800,350,460
0,2014-2024,' 19-3011,Economists,740,790,50,6.8%,30,10,20
0,2014-2024,' 19-3022,Survey Researchers,750,840,90,12%,20,10,10
0,2014-2024,' 19-3031,"Clinical, Counseling, and School Psychologists",15450,18130,2680,17.3%,600,270,330
0,2014-2024,' 19-3032,Industrial-Organizational Psychologists,240,290,50,20.8%,10,10,10
0,2014-2024,' 19-3039,"Psychologists, All Other",910,1080,170,18.7%,40,20,20
0,2014-2024,' 19-3041,Sociologists,460,470,10,2.2%,10,0,10
0,2014-2024,' 19-3051,Urban and Regional Planners,1570,1740,170,10.8%,50,20,30
0,2014-2024,' 19-3093,Historians,520,560,40,7.7%,10,0,10
0,2014-2024,' 19-3099,"Social Scientists and Related Workers, All Other",2410,2580,170,7.1%,50,20,30
0,2014-2024,' 19-4000,"Life, Physical, and Social Science Technicians",27560,31800,4240,15.4%,1470,430,1050
0,2014-2024,' 19-4011,Agricultural and Food Science Technicians,1210,1370,160,13.2%,60,20,40
0,2014-2024,' 19-4021,Biological Technicians,3590,4190,600,16.7%,160,60,100
0,2014-2024,' 19-4031,Chemical Technicians,3740,4280,540,14.4%,170,50,110
0,2014-2024,' 19-4051,Nuclear Technicians,500,480,-20,-4%,20,0,20
0,2014-2024,' 19-4061,Social Science Research Assistants,7490,8520,1030,13.8%,420,100,310
0,2014-2024,' 19-4091,"Environmental Science and Protection Technicians, Including Health",2950,3590,640,21.7%,190,70,120
0,2014-2024,' 19-4092,Forensic Science Technicians,680,860,180,26.5%,50,20,30
0,2014-2024,' 19-4093,Forest and Conservation Technicians,280,270,-10,-3.6%,10,0,10
0,2014-2024,' 19-4099,"Life, Physical, and Social Science Technicians, All Other",6940,8010,1070,15.4%,400,110,290
0,2014-2024,' 21-0000,Community and Social Service Occupations,192230,221870,29640,15.4%,7130,2970,4160
0,2014-2024,' 21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",174590,202040,27450,15.7%,6510,2750,3760
0,2014-2024,' 21-1011,Substance Abuse and Behavioral Disorder Counselors,9430,11770,2340,24.8%,430,230,200
0,2014-2024,' 21-1012,"Educational, Guidance, School, and Vocational Counselors",24620,27320,2700,11%,790,270,520
0,2014-2024,' 21-1013,Marriage and Family Therapists,800,980,180,22.5%,40,20,20
0,2014-2024,' 21-1014,Mental Health Counselors,6570,8100,1530,23.3%,290,150,140
0,2014-2024,' 21-1015,Rehabilitation Counselors,9870,11500,1630,16.5%,370,160,210
0,2014-2024,' 21-1019,"Counselors, All Other",1600,1830,230,14.4%,60,20,30
0,2014-2024,' 21-1021,"Child, Family, and School Social Workers",25120,28080,2960,11.8%,900,300,610
0,2014-2024,' 21-1022,Healthcare Social Workers,12890,16290,3400,26.4%,650,340,310
0,2014-2024,' 21-1023,Mental Health and Substance Abuse Social Workers,11900,14580,2680,22.5%,550,270,290
0,2014-2024,' 21-1029,"Social Workers, All Other",10620,11380,760,7.2%,330,80,260
0,2014-2024,' 21-1091,Health Educators,5350,6360,1010,18.9%,210,100,110
0,2014-2024,' 21-1092,Probation Officers and Correctional Treatment Specialists,4960,5290,330,6.7%,130,30,100
0,2014-2024,' 21-1093,Social and Human Service Assistants,33650,39210,5560,16.5%,1220,560,660
0,2014-2024,' 21-1094,Community Health Workers,3280,4010,730,22.3%,140,70,60
0,2014-2024,' 21-1099,"Community and Social Service Specialists, All Other",13950,15330,1380,9.9%,410,140,270
0,2014-2024,' 21-2000,Religious Workers,17640,19840,2200,12.5%,620,220,400
0,2014-2024,' 21-2011,Clergy,12320,13440,1120,9.1%,380,110,270
0,2014-2024,' 21-2021,"Directors, Religious Activities and Education",4140,4960,820,19.8%,190,80,110
0,2014-2024,' 21-2099,"Religious Workers, All Other",1180,1440,260,22%,50,30,20
0,2014-2024,' 23-0000,Legal Occupations,127070,138030,10960,8.6%,3200,1110,2090
0,2014-2024,' 23-1000,"Lawyers, Judges, and Related Workers",96210,104490,8280,8.6%,2240,830,1410
0,2014-2024,' 23-1011,Lawyers,90830,99020,8190,9%,2150,820,1330
0,2014-2024,' 23-1012,Judicial Law Clerks,840,810,-30,-3.6%,20,0,20
0,2014-2024,' 23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1540,1540,0,0%,20,0,20
0,2014-2024,' 23-2000,Legal Support Workers,30860,33540,2680,8.7%,950,270,680
0,2014-2024,' 23-2011,Paralegals and Legal Assistants,23440,25960,2520,10.8%,770,250,520
0,2014-2024,' 23-2091,Court Reporters,1570,1590,20,1.3%,40,0,30
0,2014-2024,' 23-2093,"Title Examiners, Abstractors, and Searchers",2980,2920,-60,-2%,70,0,70
0,2014-2024,' 23-2099,"Legal Support Workers, All Other",2870,3070,200,7%,80,20,60
0,2014-2024,' 25-0000,"Education, Training, and Library Occupations",780650,864990,84340,10.8%,24760,8430,16330
0,2014-2024,' 25-1000,Postsecondary Teachers,215330,252720,37390,17.4%,7550,3740,3810
0,2014-2024,' 25-1011,"Business Teachers, Postsecondary",14570,16490,1920,13.2%,450,190,260
0,2014-2024,' 25-1021,"Computer Science Teachers, Postsecondary",5230,5960,730,14%,170,70,90
0,2014-2024,' 25-1022,"Mathematical Science Teachers, Postsecondary",8410,10080,1670,19.9%,320,170,150
0,2014-2024,' 25-1031,"Architecture Teachers, Postsecondary",1670,1930,260,15.6%,60,30,30
0,2014-2024,' 25-1032,"Engineering Teachers, Postsecondary",5620,6670,1050,18.7%,200,100,100
0,2014-2024,' 25-1041,"Agricultural Sciences Teachers, Postsecondary",660,730,70,10.6%,20,10,10
0,2014-2024,' 25-1042,"Biological Science Teachers, Postsecondary",6870,8260,1390,20.2%,260,140,120
0,2014-2024,' 25-1043,"Forestry and Conservation Science Teachers, Postsecondary",260,290,30,11.5%,10,0,0
0,2014-2024,' 25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1360,1530,170,12.5%,40,20,20
0,2014-2024,' 25-1052,"Chemistry Teachers, Postsecondary",4510,5430,920,20.4%,170,90,80
0,2014-2024,' 25-1053,"Environmental Science Teachers, Postsecondary",1060,1210,150,14.2%,30,20,20
0,2014-2024,' 25-1054,"Physics Teachers, Postsecondary",2730,3290,560,20.5%,100,60,50
0,2014-2024,' 25-1061,"Anthropology and Archeology Teachers, Postsecondary",1480,1700,220,14.9%,50,20,30
0,2014-2024,' 25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",2170,2630,460,21.2%,80,50,40
0,2014-2024,' 25-1063,"Economics Teachers, Postsecondary",2640,3030,390,14.8%,90,40,50
0,2014-2024,' 25-1064,"Geography Teachers, Postsecondary",500,570,70,14%,20,10,10
0,2014-2024,' 25-1065,"Political Science Teachers, Postsecondary",2810,3240,430,15.3%,90,40,50
0,2014-2024,' 25-1066,"Psychology Teachers, Postsecondary",5810,7020,1210,20.8%,220,120,100
0,2014-2024,' 25-1067,"Sociology Teachers, Postsecondary",2910,3500,590,20.3%,110,60,50
0,2014-2024,' 25-1069,"Social Sciences Teachers, Postsecondary, All Other",3370,4050,680,20.2%,130,70,60
0,2014-2024,' 25-1071,"Health Specialties Teachers, Postsecondary",26590,33330,6740,25.3%,1140,670,470
0,2014-2024,' 25-1072,"Nursing Instructors and Teachers, Postsecondary",6080,7500,1420,23.4%,250,140,110
0,2014-2024,' 25-1081,"Education Teachers, Postsecondary",9440,10830,1390,14.7%,310,140,170
0,2014-2024,' 25-1082,"Library Science Teachers, Postsecondary",780,880,100,12.8%,20,10,10
0,2014-2024,' 25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",2610,3300,690,26.4%,120,70,50
0,2014-2024,' 25-1112,"Law Teachers, Postsecondary",3760,4820,1060,28.2%,170,110,70
0,2014-2024,' 25-1113,"Social Work Teachers, Postsecondary",1990,2380,390,19.6%,70,40,40
0,2014-2024,' 25-1121,"Art, Drama, and Music Teachers, Postsecondary",18260,21090,2830,15.5%,610,280,320
0,2014-2024,' 25-1122,"Communications Teachers, Postsecondary",4390,5010,620,14.1%,140,60,80
0,2014-2024,' 25-1123,"English Language and Literature Teachers, Postsecondary",13560,15460,1900,14%,430,190,240
0,2014-2024,' 25-1124,"Foreign Language and Literature Teachers, Postsecondary",5600,6440,840,15%,180,80,100
0,2014-2024,' 25-1125,"History Teachers, Postsecondary",3860,4420,560,14.5%,120,60,70
0,2014-2024,' 25-1126,"Philosophy and Religion Teachers, Postsecondary",5030,5920,890,17.7%,180,90,90
0,2014-2024,' 25-1191,Graduate Teaching Assistants,11660,13070,1410,12.1%,350,140,210
0,2014-2024,' 25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",2400,2720,320,13.3%,70,30,40
0,2014-2024,' 25-1194,"Vocational Education Teachers, Postsecondary",8300,9270,970,11.7%,250,100,150
0,2014-2024,' 25-1199,"Postsecondary Teachers, All Other",16400,18700,2300,14%,520,230,290
0,2014-2024,' 25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",284080,296970,12890,4.5%,7800,1290,6510
0,2014-2024,' 25-2011,"Preschool Teachers, Except Special Education",34950,37490,2540,7.3%,1280,250,1020
0,2014-2024,' 25-2012,"Kindergarten Teachers, Except Special Education",6940,7270,330,4.8%,240,30,200
0,2014-2024,' 25-2021,"Elementary School Teachers, Except Special Education",72740,75250,2510,3.5%,1860,250,1610
0,2014-2024,' 25-2022,"Middle School Teachers, Except Special and Career/Technical Education",38890,40230,1340,3.4%,990,130,860
0,2014-2024,' 25-2023,"Career/Technical Education Teachers, Middle School",1740,1800,60,3.4%,40,10,40
0,2014-2024,' 25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",66720,68980,2260,3.4%,1810,230,1580
0,2014-2024,' 25-2032,"Career/Technical Education Teachers, Secondary School",4120,4120,0,0%,100,0,100
0,2014-2024,' 25-2051,"Special Education Teachers, Preschool",5380,6450,1070,19.9%,210,110,100
0,2014-2024,' 25-2052,"Special Education Teachers, Kindergarten and Elementary School",21600,23180,1580,7.3%,570,160,410
0,2014-2024,' 25-2053,"Special Education Teachers, Middle School",11490,11860,370,3.2%,250,40,220
0,2014-2024,' 25-2054,"Special Education Teachers, Secondary School",18850,19530,680,3.6%,420,70,360
0,2014-2024,' 25-2059,"Special Education Teachers, All Other",680,810,130,19.1%,30,10,10
0,2014-2024,' 25-3000,Other Teachers and Instructors,120230,140350,20120,16.7%,4280,2010,2270
0,2014-2024,' 25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,7130,8150,1020,14.3%,240,100,130
0,2014-2024,' 25-3021,Self-Enrichment Education Teachers,42720,54530,11810,27.6%,1990,1180,810
0,2014-2024,' 25-3098,Substitute Teachers,50860,52680,1820,3.6%,1140,180,960
0,2014-2024,' 25-3099,"Teachers and Instructors, All Other",19510,24970,5460,28%,910,550,370
0,2014-2024,' 25-4000,"Librarians, Curators, and Archivists",21290,22630,1340,6.3%,760,130,630
0,2014-2024,' 25-4011,Archivists,780,880,100,12.8%,30,10,20
0,2014-2024,' 25-4012,Curators,1730,2050,320,18.5%,90,30,50
0,2014-2024,' 25-4013,Museum Technicians and Conservators,1120,1310,190,17%,50,20,40
0,2014-2024,' 25-4021,Librarians,11310,11550,240,2.1%,240,20,210
0,2014-2024,' 25-4031,Library Technicians,6350,6850,500,7.9%,350,50,300
0,2014-2024,' 25-9000,"Other Education, Training, and Library Occupations",139720,152330,12610,9%,4380,1260,3120
0,2014-2024,' 25-9011,Audio-Visual and Multimedia Collections Specialists,1000,1150,150,15%,30,20,10
0,2014-2024,' 25-9031,Instructional Coordinators,12270,14210,1940,15.8%,310,190,120
0,2014-2024,' 25-9041,Teacher Assistants,123840,133810,9970,8.1%,3970,1000,2970
0,2014-2024,' 25-9099,"Education, Training, and Library Workers, All Other",2560,3100,540,21.1%,80,50,30
0,2014-2024,' 27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",274090,302860,28770,10.5%,9730,2990,6750
0,2014-2024,' 27-1000,Art and Design Workers,79060,85220,6160,7.8%,2380,620,1750
0,2014-2024,' 27-1011,Art Directors,15720,16880,1160,7.4%,410,120,290
0,2014-2024,' 27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",1770,1960,190,10.7%,50,20,30
0,2014-2024,' 27-1014,Multimedia Artists and Animators,5970,6650,680,11.4%,180,70,110
0,2014-2024,' 27-1019,"Artists and Related Workers, All Other",720,800,80,11.1%,20,10,10
0,2014-2024,' 27-1021,Commercial and Industrial Designers,3150,3510,360,11.4%,110,40,80
0,2014-2024,' 27-1022,Fashion Designers,9110,9660,550,6%,270,60,220
0,2014-2024,' 27-1023,Floral Designers,3500,3410,-90,-2.6%,80,0,80
0,2014-2024,' 27-1024,Graphic Designers,23660,25810,2150,9.1%,780,210,560
0,2014-2024,' 27-1025,Interior Designers,4260,4480,220,5.2%,120,20,100
0,2014-2024,' 27-1026,Merchandise Displayers and Window Trimmers,7370,7690,320,4.3%,210,30,180
0,2014-2024,' 27-1029,"Designers, All Other",760,880,120,15.8%,30,10,20
0,2014-2024,' 27-2000,"Entertainers and Performers, Sports and Related Workers",77370,88720,11350,14.7%,3700,1140,2560
0,2014-2024,' 27-2012,Producers and Directors,24820,28560,3740,15.1%,1170,370,800
0,2014-2024,' 27-2022,Coaches and Scouts,15450,17970,2520,16.3%,770,250,520
0,2014-2024,' 27-2031,Dancers,1540,1810,270,17.5%,80,30,50
0,2014-2024,' 27-2041,Music Directors and Composers,5730,6420,690,12%,240,70,170
0,2014-2024,' 27-2042,Musicians and Singers,12360,14060,1700,13.8%,530,170,360
0,2014-2024,' 27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",1000,1110,110,11%,40,10,30
0,2014-2024,' 27-3000,Media and Communication Workers,86330,94030,7700,8.9%,2720,870,1850
0,2014-2024,' 27-3012,Public Address System and Other Announcers,830,870,40,4.8%,30,0,20
0,2014-2024,' 27-3022,Reporters and Correspondents,3890,3530,-360,-9.3%,130,0,130
0,2014-2024,' 27-3031,Public Relations Specialists,29350,34700,5350,18.2%,890,540,350
0,2014-2024,' 27-3041,Editors,22640,22350,-290,-1.3%,820,0,820
0,2014-2024,' 27-3042,Technical Writers,2070,2480,410,19.8%,90,40,50
